Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,1618.529297,1631.660034,1615.487915,1628.673584,1628.673584,5600937320
2022-12-30,1628.638672,1629.492676,1608.004761,1627.291748,1627.291748,5503314701
2022-12-31,1627.464478,1635.245117,1620.474731,1623.958740,1623.958740,4095971667
2023-01-01,1623.880615,1631.383057,1618.685913,1625.373779,1625.373779,3247695539
2023-01-02,1625.561157,1656.265747,1616.793701,1647.529907,1647.529907,5107780682
2023-01-03,1647.648438,1653.166504,1652.023560,1660.974365,1660.974365,4639231152
2023-01-04,1660.891968,1707.519165,1657.093994,1694.551758,1694.551758,8636996622
2023-01-05,1694.495117,1696.957153,1686.806030,1695.988525,1695.988525,5427682997
2023-01-06,1696.016357,1710.864380,1694.184937,1707.251343,1707.251343,6694156142
2023-01-07,1707.306030,1708.891235,1697.691528,1700.380371,1700.380371,3450083961
2023-01-08,1700.261475,1729.761841,1694.942017,1729.761841,1729.761841,4696179702
2023-01-09,1729.884521,1794.536621,1729.433960,1770.115479,1770.115479,10702673426
2023-01-10,1769.923340,1802.460815,1767.363037,1795.667358,1795.667358,7832680350
2023-01-11,1795.533936,1864.040771,1777.648804,1864.040771,1864.040771,8481131196
2023-01-12,1887.434814,1913.766968,1851.692383,1896.989014,1896.989014,16362163756
2023-01-13,1896.999390,1959.006836,1879.760498,1945.526733,1945.526733,10298679642
2023-01-14,1945.277100,2095.801270,1944.687256,2078.334961,2078.334961,20699660015
2023-01-15,2078.367920,2086.703369,2038.377930,2080.128418,2080.128418,9077136601
2023-01-16,2080.181641,2136.669922,2048.201660,2112.900146,2112.900146,11328706116
2023-01-17,2113.267334,2134.472656,2082.600830,2099.565430,2099.565430,10176744595
2023-01-18,2099.368408,2143.182861,2028.599487,2045.396484,2045.396484,13975412821
2023-01-19,2045.049072,2095.859619,2043.875488,2090.419678,2090.419678,8661142963
2023-01-20,2090.173340,2223.167969,2079.366699,2222.991699,2222.991699,11423175188
2023-01-21,2222.927246,2242.312012,2178.871826,2179.280762,2179.280762,11865636903
2023-01-22,2179.612549,2222.034912,2158.058838,2177.278809,2177.278809,10052159894
2023-01-23,2177.504395,2194.965088,2152.528809,2177.175293,2177.175293,11050679424
2023-01-24,2176.636719,2189.441162,2075.660400,2081.545654,2081.545654,10938949626
2023-01-25,2081.817383,2185.356201,2046.317017,2156.670898,2156.670898,14182751345
2023-01-26,2155.827637,2178.892578,2119.772949,2134.960449,2134.960449,11180587002
2023-01-27,2134.926025,2150.813232,2085.172363,2131.541260,2131.541260,10836005691
2023-01-28,2131.499756,2140.594971,2088.152100,2097.549805,2097.549805,7741783396
2023-01-29,2097.809082,2204.076416,2092.947266,2190.307129,2190.307129,11710638681
2023-01-30,2190.296631,2190.492920,2070.271973,2097.795898,2097.795898,12287576535
2023-01-31,2097.920898,2131.624756,2093.519531,2111.440674,2111.440674,8763901468
2023-02-01,2111.377686,2181.676758,2094.660889,2179.406006,2179.406006,10774911734
2023-02-02,2178.839355,2268.354248,2179.146240,2188.436279,2188.436279,14061041206
2023-02-03,2187.987549,2237.938477,2178.341309,2232.673584,2232.673584,10956551486
2023-02-04,2232.307129,2266.677002,2210.468994,2235.776611,2235.776611,7836745164
2023-02-05,2235.920410,2242.094727,2168.163330,2186.976563,2186.976563,9284197695
2023-02-06,2186.975830,2223.246826,2166.660156,2172.720947,2172.720947,9302383776
2023-02-07,2172.401855,2242.587891,2170.505127,2239.018555,2239.018555,10753529208
2023-02-08,2238.886719,2262.288818,2197.415283,2219.540527,2219.540527,10496005599
